요일구분,K,MCS,방문순서,충전소명,station_key,시간대,time_window_start,time_window_end,arrival_time,service_start,service_end,service_minutes,발생횟수,발생비율_%,profit,위도,경도,from_station_key
평일,5,2,5,기업은행 무교지점 앞 가로등형 충전소,기업은행_무교지점,14시,14:31,15:00,14:32,14:32,15:00,28,112,45.3,45.3,37.56762877,126.9795662,청계3_코리아몰앞
평일,5,2,6,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,15시,15:29,15:59,15:29,15:29,15:59,30,89,36.0,36.0,37.56680167,126.9966063,기업은행_무교지점
평일,5,2,7,훈련원공원 노상공영주차장,훈련원공원,16시,16:23,17:15,16:30,16:30,17:15,45,113,45.7,45.7,37.56692913,127.0043893,을지로_하나은행앞
평일,5,2,8,훈련원공원 노상공영주차장,훈련원공원,17시,17:25,18:13,17:28,17:28,18:13,45,101,40.9,40.9,37.56692913,127.0043893,훈련원공원
평일,5,3,1,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,09시,09:39,10:14,09:39,09:39,10:14,35,83,33.6,33.6,37.56680167,126.9966063,청계3_코리아몰앞
평일,5,3,2,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,10시,10:26,10:52,10:26,10:26,10:52,26,96,38.9,38.9,37.56710245,127.0017882,을지로_하나은행앞
평일,5,3,3,훈련원공원 노상공영주차장,훈련원공원,11시,11:34,12:17,11:34,11:34,12:17,43,126,51.0,51.0,37.56692913,127.0043893,을지로_신한은행앞
평일,5,3,4,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,12시,12:33,13:10,12:33,12:33,13:10,37,121,49.0,49.0,37.56896427,127.0020909,훈련원공원
평일,5,3,5,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,13시,13:26,13:54,13:26,13:26,13:54,28,109,44.1,44.1,37.56680167,126.9966063,청계3_코리아몰앞
평일,5,3,6,훈련원공원 노상공영주차장,훈련원공원,14시,14:27,14:59,14:27,14:27,14:59,32,139,56.3,56.3,37.56692913,127.0043893,을지로_하나은행앞
평일,5,3,7,훈련원공원 노상공영주차장,훈련원공원,15시,15:33,16:20,15:35,15:35,16:20,45,166,67.2,67.2,37.56692913,127.0043893,훈련원공원
평일,5,4,1,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,10시,10:29,11:02,10:29,10:29,11:02,33,94,38.1,38.1,37.56680167,126.9966063,청계3_코리아몰앞
평일,5,4,2,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,11시,11:30,12:18,11:32,11:32,12:17,45,107,43.3,43.3,37.56896427,127.0020909,을지로_하나은행앞
평일,5,4,3,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,12시,12:29,13:01,12:29,12:29,13:01,32,113,45.7,45.7,37.56680167,126.9966063,청계3_코리아몰앞
평일,5,4,4,청계5 노상공영주차장,청계5,13시,13:22,13:36,13:22,13:22,13:36,14,105,42.5,42.5,37.5681412,127.0024362,을지로_하나은행앞
평일,5,4,5,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,14시,14:26,14:48,14:26,14:26,14:48,22,100,40.5,40.5,37.56710245,127.0017882,청계5
평일,5,4,6,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,15시,15:28,15:58,15:28,15:28,15:58,30,108,43.7,43.7,37.56896427,127.0020909,을지로_신한은행앞
평일,5,4,7,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,16시,16:29,16:52,16:29,16:29,16:52,23,88,35.6,35.6,37.56896427,127.0020909,청계3_코리아몰앞
평일,5,5,1,훈련원공원 노상공영주차장,훈련원공원,08시,08:38,09:43,08:38,08:38,09:23,45,114,46.2,46.2,37.56692913,127.0043893,청계3_코리아몰앞
평일,5,5,2,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,09시,09:29,09:59,09:29,09:29,09:59,30,86,34.8,34.8,37.56896427,127.0020909,훈련원공원
평일,5,5,3,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,10시,10:30,11:02,10:30,10:30,11:02,32,81,32.8,32.8,37.56896427,127.0020909,청계3_코리아몰앞
평일,5,5,4,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,11시,11:27,11:58,11:27,11:27,11:58,31,122,49.4,49.4,37.56680167,126.9966063,청계3_코리아몰앞
평일,5,5,5,기업은행 무교지점 앞 가로등형 충전소,기업은행_무교지점,12시,12:28,13:10,12:28,12:28,13:10,42,128,51.8,51.8,37.56762877,126.9795662,을지로_하나은행앞
평일,5,5,6,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,13시,13:23,13:49,13:23,13:23,13:49,26,111,44.9,44.9,37.56710245,127.0017882,기업은행_무교지점
평일,5,5,7,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,14시,14:31,15:03,14:31,14:31,15:03,32,125,50.6,50.6,37.56680167,126.9966063,을지로_신한은행앞
평일,5,5,8,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,16시,16:26,16:46,16:26,16:26,16:46,20,81,32.8,32.8,37.56710245,127.0017882,을지로_하나은행앞
토요일,1,1,1,훈련원공원 노상공영주차장,훈련원공원,07시,07:38,08:05,07:38,07:38,08:05,27,14,27.5,27.5,37.56692913,127.0043893,청계3_코리아몰앞
